Day,2013_Jun,2013_Jul,2013_Aug,2013_Sep,2013_Oct,2013_Nov,2013_Dec,2014_Jan,2014_Feb,2014_Mar,2014_Apr,2014_May,2014_Jun,2014_Jul,2014_Aug,2014_Sep,2014_Oct,2014_Nov,2014_Dec,2015_Jan,2015_Feb,2015_Mar,2015_Apr,2015_May,2015_Jun,2015_Jul,2015_Aug,2015_Sep,2015_Oct,2015_Nov,2015_Dec,2016_Jan,2016_Feb,2016_Mar,2016_Apr,2016_May,2016_Jun,2016_Jul,2016_Aug,2016_Sep,2016_Oct,2016_Nov,2016_Dec,2017_Jan,2017_Feb,2017_Mar,2017_Apr,2017_May,2017_Jun,2017_Jul,2017_Aug,2017_Sep,2017_Oct,2017_Nov,2017_Dec,2018_Jan,2018_Feb,2018_Mar,2018_Apr,2018_May,2018_Jun,2018_Jul,2018_Aug,2018_Sep,2018_Oct,2018_Nov,2018_Dec,2019_Jan,2019_Feb,2019_Mar,2019_Apr,2019_May,2019_Jun,2019_Jul,2019_Aug,2019_Sep,2019_Oct,2019_Nov,2019_Dec,2020_Jan,2020_Feb,2020_Mar,2020_Apr,2020_May,2020_Jun,2020_Jul,2020_Aug,2020_Sep,2020_Oct,2020_Nov,2020_Dec,2021_Jan,2021_Feb,2021_Mar,2021_Apr,2021_May,2021_Jun,2021_Jul,2021_Aug,2021_Sep,2021_Oct,2021_Nov,2021_Dec,2022_Jan,2022_Feb,2022_Mar,2022_Apr,2022_May,2022_Jun,2022_Jul,2022_Aug,2022_Sep,2022_Oct,2022_Nov,2022_Dec,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug,2024_Sep,2024_Oct,2024_Nov,2024_Dec,2025_Jan,2025_Feb,2025_Mar
1,4951.0,16650,20138,25235.0,40575,30384.0,13326,6059,12771.0,9202,23908.0,26762,31333.0,34854,32654,17828.0,26765,5689.0,17792,4651,6256.0,2761,19248.0,25188,14458.0,33478,22803,38445.0,31912,24484.0,17958,8508.0,23617.0,28940,31319.0,9518,49354.0,35320,44680,35482.0,33498,52171.0,41508,12266,34297.0,39057.0,22004.0,50056,61379.0,28455,61365,49901.0,46141,57534.0,48324,5500,35561.0,45564,33149.0,72035,62877.0,45266,64462,54295.0,71365,73169.0,37556,21962,24982.0,30228,51391.0,60897,76419.0,78238,87703,62667.0,87033,70641.0,10759,18125,35543.0,31889,20371.0,24954,52948.0,63432,89063,76703.0,89743,33307.0,53084,18808,242.0,33717,44521.0,90790,97367.0,66263,92363,49533.0,113031,87666.0,72192,20197,29240.0,55990,68421.0,94529,87979.0,103228,97836,121193.0,59605,103587.0,72936,50424,60321.0,70053,70748.0,101087,126399.0,107684,142370,127623.0,131070,100380.0,65828,47031,87515.0,85483,86942.0,146016,172411.0,151557,163025,127964.0,176974,179899.0,57929,51283,72066.0,97326
2,5059.0,22745,35792,21416.0,41383,31013.0,24576,8600,13816.0,8195,22515.0,32377,34519.0,26582,26784,28105.0,32497,12947.0,15173,10663,1449.0,7194,22228.0,18905,11512.0,30754,21632,38542.0,9046,39583.0,23186,12134.0,27643.0,25414,18707.0,34791,49017.0,24317,50988,45555.0,33176,57008.0,40343,8264,33507.0,34210.0,31676.0,55222,59980.0,30322,52998,28611.0,60470,65463.0,35059,18818,26313.0,6855,22063.0,76773,60293.0,58635,69705,60762.0,73100,62922.0,18195,37797,21999.0,18000,57891.0,68701,67298.0,78158,82257,37792.0,79821,58579.0,18018,41569,28601.0,56959,19017.0,72823,46500.0,73435,70094,70025.0,81025,50629.0,47348,41210,6.0,31270,41776.0,91820,104297.0,76199,100864,123281.0,117567,80849.0,77466,42203,41776.0,67073,73160.0,54502,98469.0,88597,120606,116201.0,51482,117246.0,74780,58097,63077.0,73545,71183.0,89400,111471.0,82677,144667,118785.0,135206,108564.0,101566,67838,68529.0,27993,40239.0,157407,149835.0,161700,141140,143840.0,176469,154717.0,91359,71631,51171.0,54880
3,4459.0,21864,29540,32411.0,40456,20798.0,27431,1144,2600.0,7708,26321.0,25501,29501.0,27587,25276,33083.0,31523,25243.0,13321,4252,4745.0,6480,13847.0,19514,31206.0,18387,33514,37829.0,15173,43851.0,32613,13368.0,15904.0,23214,13894.0,21349,35568.0,21303,50870,28447.0,50017,55563.0,26802,13925,28751.0,29792.0,40639.0,54000,44222.0,38609,61046,23822.0,64556,64493.0,30761,24299,18385.0,28364,25881.0,69056,50045.0,54884,61958,55024.0,76724,48605.0,53143,41676,31932.0,23239,67911.0,62405,77694.0,74223,77283,83716.0,39067,52253.0,39230,31879,53529.0,49745,11314.0,63748,28776.0,59354,67245,71336.0,95588,62135.0,53171,14594,6314.0,48987,59879.0,59505,68415.0,66518,106599,112309.0,105964,85209.0,70804,32453,26489.0,55364,37108.0,92488,120677.0,89069,124587,107470.0,49436,116585.0,45282,51648,37942.0,65116,84356.0,101272,105787.0,96662,140113,111485.0,146392,114588.0,34838,76213,72181.0,111661,26488.0,142232,153467.0,155419,135670,164895.0,168371,128673.0,103320,75194,85770.0,79126
4,8525.0,22326,35253,36798.0,40195,27142.0,28199,2292,8709.0,10398,12566.0,21277,36068.0,13612,33822,33757.0,11899,29405.0,20852,7458,8935.0,7464,11930.0,27686,30087.0,12192,35549,33614.0,24899,44551.0,32988,18951.0,26836.0,16831,12023.0,29456,30368.0,22267,50574,29624.0,55494,52063.0,24162,32283,17948.0,14777.0,29172.0,52291,33256.0,36467,50545,40658.0,66437,44853.0,47315,1922,13959.0,25262,36753.0,71199,58913.0,48372,51200,68598.0,70647,50226.0,48280,43922,46374.0,28421,66396.0,56023,83299.0,52712,66868,84833.0,83360,70117.0,47384,29444,52492.0,58684,28877.0,32374,39681.0,71015,44611,85354.0,80676,65222.0,40455,36765,18401.0,39257,61995.0,84990,84655.0,98943,106836,106543.0,71892,83807.0,66406,35871,20236.0,49674,68863.0,79557,127286.0,94246,117773,99194.0,51880,118560.0,62439,74213,24699.0,56615,104770.0,91687,103169.0,83575,128530,110802.0,149787,111821.0,94959,77273,66161.0,95137,96676.0,126292,166769.0,117351,113013,179269.0,172103,140115.0,105191,55187,94458.0,104874
5,8335.0,21842,36776,35825.0,34181,31493.0,26988,2678,2746.0,13801,18655.0,30288,24619.0,22913,34392,31602.0,19678,29040.0,15469,14257,9179.0,1633,10999.0,29884,28300.0,16387,36221,20953.0,40416,39576.0,22463,17571.0,13373.0,16032,25158.0,36669,19147.0,38915,46649,32371.0,59801,37399.0,34326,27489,18907.0,14918.0,44570.0,23026,51306.0,53995,44861,59910.0,65148,31395.0,40148,4972,29068.0,36774,39814.0,63329,71912.0,59476,58381,74924.0,74497,32883.0,46027,17432,54161.0,37097,34459.0,16169,78805.0,58723,82391,89656.0,69131,73768.0,49027,27605,50557.0,58705,25764.0,35093,33081.0,64551,81830,89596.0,75824,74748.0,31819,38548,23898.0,35410,66606.0,48590,118451.0,95441,106942,85374.0,101691,84236.0,60875,33689,29578.0,51274,72591.0,110223,115731.0,88753,113933,93629.0,69165,121750.0,73746,71262,49720.0,64578,71745.0,111595,114898.0,115375,138041,132795.0,148074,111694.0,94860,72233,76957.0,50029,99689.0,55190,170591.0,110784,154067,172583.0,182220,163704.0,95567,52065,88463.0,71691
6,6727.0,20467,37702,35868.0,26574,34826.0,10736,9510,7196.0,12773,20750.0,32233,37719.0,23822,36336,21361.0,29445,11976.0,3947,8720,8528.0,5121,21095.0,27766,19710.0,30447,36609,18853.0,45241,42222.0,21288,23694.0,15569.0,16658,28038.0,17795,46409.0,46591,31499,47837.0,61191,32388.0,32051,23523,32190.0,31145.0,17701.0,38210,39351.0,56677,43035,40485.0,63710,53999.0,44822,4295,34102.0,42689,35624.0,48993,69802.0,49507,65677,70208.0,57301,39672.0,45864,31451,39213.0,33279,66529.0,69914,81356.0,50897,82512,55227.0,60532,72714.0,51607,42750,32162.0,34144,24667.0,17287,56274.0,46000,79153,83035.0,85655,82176.0,40764,37944,30611.0,32680,74674.0,91275,103567.0,75462,106966,103837.0,108256,82609.0,66055,44226,28761.0,54475,48408.0,35105,110102.0,112611,122434,40639.0,123660,102989.0,52482,64620,64701.0,72454,96297.0,122939,112036.0,122550,123741,140836.0,121694,106006.0,89871,43133,81931.0,53150,94689.0,132037,144810.0,119507,114672,176270.0,157278,173408.0,93045,58355,57618.0,101352
7,861.0,20477,34396,34419.0,25016,25719.0,15545,6267,8495.0,13304,14677.0,32882,31204.0,31863,36362,23760.0,31189,24185.0,9930,9613,6566.0,5372,15561.0,31031,21705.0,32817,34534,22222.0,45993,28038.0,32347,26868.0,15799.0,29587,29497.0,24682,47596.0,44622,31061,55545.0,57746,45963.0,36770,4311,22684.0,28846.0,34393.0,28596,59613.0,40507,22465,64558.0,50027,34054.0,43718,5640,15289.0,8188,33245.0,68917,70483.0,60918,64346,74549.0,60517,67028.0,43265,36486,43177.0,35907,64709.0,72824,82950.0,61485,52193,78220.0,77323,56782.0,34510,46556,32651.0,39459,23655.0,43688,80463.0,67843,59978,83917.0,81291,98483.0,41613,37996,8111.0,34562,76263.0,89272,95879.0,100483,112615,104595.0,112889,77468.0,65109,17023,30675.0,67822,35293.0,20533,103484.0,114441,94696,112652.0,123338,107010.0,73840,58996,66000.0,66493,81217.0,112578,92038.0,122816,99327,144329.0,68877,117328.0,85562,35575,89503.0,92723,94690.0,163033,171609.0,122973,108934,143098.0,162913,171337.0,86186,65068,88403.0,97483
8,6330.0,21615,28366,33196.0,38365,28686.0,10090,9246,5986.0,16350,21884.0,17619,30162.0,32713,34073,31683.0,31650,15383.0,15350,8733,6470.0,7450,17195.0,29733,29789.0,31613,24082,37914.0,45345,25657.0,34071,27558.0,18636.0,34233,29263.0,23672,40155.0,40063,46186,55847.0,27603,52078.0,38453,6286,38781.0,41021.0,30076.0,47538,57391.0,43649,59921,63478.0,34018,51682.0,39806,15821,31564.0,28440,28410.0,74313,72711.0,60489,70573,58258.0,57877,63474.0,29550,41161,36454.0,40406,70500.0,76389,78096.0,68030,79609,72515.0,80569,50295.0,32308,42415,32787.0,47005,20749.0,17335,60860.0,63345,90259,79257.0,84008,86176.0,41103,37156,17903.0,37632,79802.0,58433,73041.0,73192,73650,110506.0,113106,82962.0,64351,23866,51812.0,62126,88109.0,62699,123729.0,98090,103869,134365.0,100500,96386.0,89150,49297,78465.0,71510,76768.0,114444,96410.0,116325,133513,120342.0,104839,110168.0,98111,78247,94757.0,103259,110936.0,153596,172113.0,146692,95574,159718.0,175617,163982.0,94823,66394,64047.0,82900
9,6003.0,26641,29017,35394.0,36969,21734.0,14824,13354,4996.0,12262,26931.0,22641,18611.0,34426,31636,32359.0,30057,15857.0,6675,7892,5110.0,14365,16093.0,18590,32165.0,28613,21942,39716.0,33090,38797.0,34047,19159.0,22235.0,38227,11828.0,40754,48334.0,29642,50122,51357.0,19085,36564.0,32581,15656,,42593.0,33797.0,52790,59325.0,45019,61878,49208.0,35877,55397.0,10376,25091,31567.0,34912,40509.0,78458,65250.0,70067,71942,19934.0,73709,36440.0,27221,44338,23765.0,38928,59327.0,66681,73972.0,83708,80280,84809.0,50407,37993.0,15221,39354,32638.0,68790,14197.0,27762,61691.0,76402,82809,84449.0,87670,75824.0,37076,34661,21959.0,58841,66796.0,52180,109627.0,84173,94320,75825.0,105444,94358.0,64863,21104,55885.0,28060,67250.0,93923,114851.0,122886,108817,133400.0,93591,95278.0,76623,61477,75909.0,77147,69775.0,115011,112648.0,88122,141342,125571.0,107735,117648.0,101630,42890,96995.0,41944,136096.0,151145,144384.0,160744,122093,167338.0,178436,134044.0,87777,67203,36000.0,80423
10,2551.0,25732,37201,36954.0,31171,19712.0,12850,9847,6846.0,17231,27463.0,21832,33435.0,36288,26749,34818.0,28553,25910.0,10318,6034,10236.0,11466,15593.0,19466,35198.0,33094,33761,20297.0,28404,20805.0,37126,13351.0,22009.0,38617,19307.0,41343,47164.0,31805,45650,37795.0,44967,47732.0,20798,22872,1956.0,17990.0,44807.0,54250,44858.0,55836,60266,49238.0,67545,36797.0,18820,28252,16324.0,25444,43051.0,67455,41642.0,72509,69599,23937.0,76747,37461.0,42724,38969,24131.0,18897,70977.0,68039,37024.0,84219,82793,87584.0,84856,42121.0,42435,50814,26750.0,64309,16285.0,54524,63127.0,22796,69018,52931.0,93947,84390.0,51908,35387,27826.0,53584,85784.0,69638,118563.0,106748,90447,123620.0,67608,96080.0,73667,34172,61783.0,66012,57075.0,104519,122298.0,115269,123322,134254.0,95962,108844.0,63227,66587,83727.0,59293,89724.0,122695,121974.0,123193,90259,85555.0,128110,108172.0,43257,81323,94330.0,61510,122907.0,90106,156518.0,166417,178858,184718.0,168041,112224.0,98063,81175,69595.0,118048
11,7899.0,24417,33060,35812.0,33357,27295.0,18766,7695,8343.0,24356,26798.0,28326,30548.0,35000,33664,34437.0,11493,27713.0,17851,7297,11330.0,18722,15366.0,28339,33572.0,22329,22368,41186.0,27181,35278.0,36672,22402.0,18464.0,34390,30006.0,46078,31179.0,47413,43022,40877.0,53680,41651.0,16674,31465,8501.0,14369.0,50132.0,53018,40860.0,57468,55893,65251.0,59184,26068.0,40419,33961,8809.0,27597,48612.0,75266,68078.0,73018,36607,66518.0,46528,36222.0,46610,32805,38636.0,52413,62414.0,69788,78052.0,54495,73365,90448.0,79369,64883.0,38180,56554,37797.0,61834,33153.0,22741,43865.0,66596,75317,94664.0,75455,46273.0,59932,36120,22419.0,66810,19706.0,87227,105698.0,100961,95620,130503.0,94623,90738.0,62465,26419,64453.0,69240,75296.0,106985,115341.0,111011,113852,67620.0,111877,54676.0,32622,67002,63592.0,48984,103731.0,127906,108223.0,133425,136405,110993.0,142019,102959.0,68226,88922,76810.0,79816,87325.0,135447,163077.0,166710,151435,188541.0,168900,136558.0,66671,64580,74832.0,133137
12,9542.0,19006,31457,31252.0,32457,19925.0,17214,12515,8580.0,15101,27108.0,31644,29084.0,28718,26261,34023.0,18346,26826.0,17506,8590,11158.0,16970,15770.0,31050,30946.0,22083,37575,25360.0,37483,35576.0,26739,24741.0,16130.0,24342,22711.0,45929,30406.0,51224,39911,54938.0,52337,28615.0,28196,38188,5657.0,12803.0,47355.0,51696,52836.0,57732,44820,68894.0,57145,29377.0,41358,22254,35139.0,36340,53168.0,34535,76279.0,74860,59835,53200.0,67000,50567.0,47036,25128,15854.0,47207,57998.0,10729,85042.0,81075,81371,70159.0,70751,39188.0,45360,53132,49351.0,51347,31571.0,36016,72521.0,84313,66103,101486.0,16419,40725.0,53516,42319,25331.0,67916,32829.0,92731,114413.0,85812,97376,114439.0,105725,68306.0,60090,40059,68356.0,19581,93461.0,110748,90120.0,111545,122292,114997.0,118499,113413.0,59848,51404,55523.0,56339,115854.0,128669,96931.0,133241,132909,155580.0,142233,78608.0,90315,85744,83630.0,117415,104858.0,75266,171675.0,144918,150447,188672.0,168018,132896.0,91613,69263,65680.0,121083
13,5291.0,26119,22437,36501.0,28832,23633.0,17888,20633,876.0,10979,26871.0,32847,18308.0,24869,27977,15255.0,20471,19880.0,11848,12727,7563.0,15461,23410.0,29821,21542.0,33662,36680,25936.0,43878,36054.0,25916,20786.0,6452.0,21183,35066.0,29481,44301.0,50341,28498,59662.0,56278,30080.0,37770,32106,23449.0,26587.0,46736.0,5395,56561.0,52419,43628,64500.0,61457,37417.0,31791,17760,35189.0,23137,63510.0,25986,64292.0,72121,44251,73987.0,54316,36389.0,40198,22752,34941.0,50120,71492.0,22296,49195.0,76860,75001,87636.0,67616,43945.0,32961,49459,37424.0,43352,7809.0,40606,89698.0,69048,62466,84701.0,51916,48676.0,61098,42544,22546.0,52334,76899.0,98551,100075.0,102985,96498,103516.0,107410,69434.0,66314,50366,20331.0,30783,98653.0,95757,111354.0,120574,131500,122211.0,73594,69077.0,65299,65101,71858.0,32722,118763.0,121268,131260.0,131468,117535,143656.0,136616,94694.0,93811,63677,31930.0,118682,89354.0,135596,172238.0,138439,164444,189116.0,154819,131251.0,93770,86489,75245.0,117532
14,8662.0,29287,38150,31607.0,33018,27040.0,3701,9999,3609.0,16299,28832.0,30044,28417.0,25825,35154,23033.0,30314,20444.0,11282,12971,4508.0,3757,21747.0,31380,19990.0,32581,33949,38212.0,45538,21763.0,30549,23327.0,4461.0,10468,35736.0,30618,49954.0,45955,25818,54380.0,54107,45651.0,36683,12915,29018.0,,43294.0,32185,55813.0,29991,55171,66985.0,48446,50257.0,26848,12399,39591.0,35377,62597.0,64729,75807.0,62565,63686,74290.0,53815,48922.0,44189,34970,41650.0,57466,58470.0,42780,80613.0,67911,75579,75457.0,77630,54642.0,30263,44156,36933.0,44246,25291.0,41605,79753.0,76996,83793,79299.0,88433,75287.0,25805,47857,22927.0,42610,78364.0,105222,82377.0,107744,109162,115846.0,113585,61455.0,73503,45403,34120.0,63153,90560.0,79691,123489.0,120218,111297,134851.0,114711,73842.0,67233,43374,78032.0,39326,119451.0,106607,116975.0,106268,123591,155966.0,42241,105468.0,90124,48781,70756.0,132154,115286.0,141606,150348.0,143550,171176,184460.0,132463,122789.0,80296,82223,76759.0,120833
